wdpa_id,date,treecover_ha
67670,2002-01-01,190366.501303007
102817,2002-01-01,143682.552194654
102910,2002-01-01,75007.064370593
107569,2002-01-01,163986.101616345
115079,2002-01-01,48580.7423328428
116297,2002-01-01,104662.467628094
220034,2002-01-01,349011.373618727
301932,2002-01-01,68752.383183164
302086,2002-01-01,33312.2080976579
306780,2002-01-01,688680.800132277
342347,2002-01-01,445892.389309915
902858,2002-01-01,792159.154051599
197,2003-01-01,182983.813881607
227,2003-01-01,608307.231704902
3305,2003-01-01,219201.244231892
3306,2003-01-01,199357.843440247
3307,2003-01-01,167648.329523346
3311,2003-01-01,101444.548987796
3314,2003-01-01,212903.558663953
12226,2003-01-01,149141.550334623
12229,2003-01-01,157111.864311646
12241,2003-01-01,168356.266968363
12570,2003-01-01,36046.7822512621
12572,2003-01-01,46759.1334545622
20224,2003-01-01,275305.63750402
20230,2003-01-01,400441.968137771
28850,2003-01-01,95069.6738023142
30604,2003-01-01,391714.965063248
30605,2003-01-01,388834.016755114
30606,2003-01-01,139350.908511492
30614,2003-01-01,268311.411414525
30618,2003-01-01,807827.766366448
67670,2003-01-01,189389.608050013
102817,2003-01-01,143681.89219825
102910,2003-01-01,69440.4196831054
107569,2003-01-01,162597.477766395
115079,2003-01-01,47521.3118291136
116297,2003-01-01,103776.643170041
220034,2003-01-01,348824.27133182
301932,2003-01-01,68553.5699658215
302086,2003-01-01,32233.944841942
306780,2003-01-01,686960.228022585
342347,2003-01-01,443823.036360743
902858,2003-01-01,783583.443096074
197,2004-01-01,182186.572332491
227,2004-01-01,605712.923520578
3305,2004-01-01,218921.590279937
3306,2004-01-01,199243.115317301
3307,2004-01-01,167414.206144764
3311,2004-01-01,101388.942619804
3314,2004-01-01,212712.633811742
12226,2004-01-01,148967.548893204
12229,2004-01-01,157001.762612769
12241,2004-01-01,168316.759727048
12570,2004-01-01,35094.5138518662
12572,2004-01-01,45458.4606896809
20224,2004-01-01,274366.415688116
20230,2004-01-01,399734.993416091
28850,2004-01-01,94975.6268043027
30604,2004-01-01,391594.577904265
30605,2004-01-01,383904.909184344
30606,2004-01-01,138406.079064074
30614,2004-01-01,266503.018403099
30618,2004-01-01,792998.818473792
67670,2004-01-01,188653.920683163
102817,2004-01-01,143680.938530967
102910,2004-01-01,67590.8068728936
107569,2004-01-01,161284.087768014
115079,2004-01-01,46400.378321237
116297,2004-01-01,103005.831880714
220034,2004-01-01,348570.77047194
301932,2004-01-01,68378.4520329489
302086,2004-01-01,31475.2805262869
306780,2004-01-01,685815.953003939
342347,2004-01-01,442800.497956076
902858,2004-01-01,776299.909562677
197,2005-01-01,181376.43755826
227,2005-01-01,601824.541547521
3305,2005-01-01,217996.760706651
3306,2005-01-01,198709.469505415
3307,2005-01-01,166983.823568538
3311,2005-01-01,101073.146775843
3314,2005-01-01,211199.321097904
12226,2005-01-01,148741.166699292
12229,2005-01-01,156833.886257655
12241,2005-01-01,168051.453901164
12570,2005-01-01,32906.7499522614
12572,2005-01-01,43125.8100817208
20224,2005-01-01,273512.403467328
20230,2005-01-01,397302.375943663
28850,2005-01-01,94534.181636461
30604,2005-01-01,391423.461297815
30605,2005-01-01,371354.550890863
30606,2005-01-01,137213.987266768
30614,2005-01-01,260662.75186671
