wdpa_id,date,population
116297,2006-01-01,21118.4674574137
220034,2006-01-01,16166.2409571329
301932,2006-01-01,13953.747812748
302086,2006-01-01,12903.5733413696
306780,2006-01-01,11117.0333029403
342347,2006-01-01,5897.09524627286
902858,2006-01-01,120998.560330302
197,2007-01-01,10142.8147025704
227,2007-01-01,81308.1844620791
3305,2007-01-01,25047.2361273766
3306,2007-01-01,6462.23766791821
3307,2007-01-01,17923.1425552368
3311,2007-01-01,6905.6538760867
3314,2007-01-01,17790.1510868669
12226,2007-01-01,23106.6635668427
12229,2007-01-01,11972.7385429144
12241,2007-01-01,4518.87611526251
12570,2007-01-01,14361.1161286831
12572,2007-01-01,16703.2475894094
20224,2007-01-01,16521.121357847
20230,2007-01-01,16032.073777616
28850,2007-01-01,4808.75380778313
30604,2007-01-01,6838.31905583292
30605,2007-01-01,69681.9405965298
30606,2007-01-01,5353.91784900427
30614,2007-01-01,64044.6739414334
30618,2007-01-01,262594.192839697
67670,2007-01-01,11427.5130676199
102817,2007-01-01,2161.29349131882
102910,2007-01-01,28731.0279622078
107569,2007-01-01,64114.0332082063
115079,2007-01-01,26901.780724287
116297,2007-01-01,22171.7189637423
220034,2007-01-01,17038.3374273471
301932,2007-01-01,14830.1504914761
302086,2007-01-01,13572.9951114655
306780,2007-01-01,10800.7080247171
342347,2007-01-01,5964.58802008998
902858,2007-01-01,124104.536320925
197,2008-01-01,11029.4440430999
227,2008-01-01,84497.7831818956
3305,2008-01-01,28087.6268552542
3306,2008-01-01,7098.95956891775
3307,2008-01-01,18829.4602627754
3311,2008-01-01,7262.08420117572
3314,2008-01-01,18487.8153734803
12226,2008-01-01,24532.7021533549
12229,2008-01-01,12533.9924637079
12241,2008-01-01,4846.37292838097
12570,2008-01-01,14858.886547327
12572,2008-01-01,17413.7181094885
20224,2008-01-01,16691.5072150789
20230,2008-01-01,17717.7736207247
28850,2008-01-01,5060.55174410343
30604,2008-01-01,6933.36042374
30605,2008-01-01,70512.915422914
30606,2008-01-01,5704.19481045008
30614,2008-01-01,66253.5317693353
30618,2008-01-01,272410.16840075
67670,2008-01-01,11868.5290767727
102817,2008-01-01,2193.33456676826
102910,2008-01-01,30470.8079714775
107569,2008-01-01,65120.8514545038
115079,2008-01-01,27731.756426096
116297,2008-01-01,23447.0281955004
220034,2008-01-01,18216.4963134823
301932,2008-01-01,16308.0930495262
302086,2008-01-01,14260.9975614548
306780,2008-01-01,11157.3705630434
342347,2008-01-01,6014.8379515601
902858,2008-01-01,127779.492421538
197,2009-01-01,11122.0049802661
227,2009-01-01,87146.4308710261
3305,2009-01-01,28065.8417563439
3306,2009-01-01,7207.53908878565
3307,2009-01-01,20412.9288865328
3311,2009-01-01,7124.24707161821
3314,2009-01-01,18253.690177381
12226,2009-01-01,24790.4636862129
12229,2009-01-01,13144.4986672401
12241,2009-01-01,4882.64781045914
12570,2009-01-01,15121.8519387245
12572,2009-01-01,19049.3974717855
20224,2009-01-01,16896.1218253449
20230,2009-01-01,17888.7826188803
28850,2009-01-01,5037.08200240135
30604,2009-01-01,7393.01356291398
30605,2009-01-01,73351.7152262107
30606,2009-01-01,5908.59088844061
30614,2009-01-01,68147.3182652592
30618,2009-01-01,282125.356517814
67670,2009-01-01,11895.0363020598
102817,2009-01-01,2387.49383785948
102910,2009-01-01,32448.4232625961
107569,2009-01-01,66154.9381000027
115079,2009-01-01,29113.6539130211
116297,2009-01-01,24510.013548255
220034,2009-01-01,19375.4197272777
301932,2009-01-01,16971.6543917656
302086,2009-01-01,14989.539478302
306780,2009-01-01,11632.0071245981
342347,2009-01-01,6152.40016311599
902858,2009-01-01,128186.073227465
197,2010-01-01,11060.6291434169
227,2010-01-01,88084.3683285284
3305,2010-01-01,27291.2708597184
3306,2010-01-01,6887.59612625837
3307,2010-01-01,20722.3288345337
3311,2010-01-01,6893.2518349234
3314,2010-01-01,18748.1147672534
12226,2010-01-01,23926.6814480349
12229,2010-01-01,12506.0833927393
12241,2010-01-01,4661.76741933823
12570,2010-01-01,15403.2310056686
12572,2010-01-01,20671.9823168516
20224,2010-01-01,16452.671684593
20230,2010-01-01,17326.324552834
28850,2010-01-01,5186.07717859745
30604,2010-01-01,7467.61172360927
30605,2010-01-01,76218.1771936433
30606,2010-01-01,5893.5854164958
30614,2010-01-01,70212.844978571
30618,2010-01-01,294070.967653164
67670,2010-01-01,12334.0027476537
102817,2010-01-01,2386.07583241165
102910,2010-01-01,35726.9663095474
107569,2010-01-01,67132.1537080258
115079,2010-01-01,31167.2173147202
116297,2010-01-01,24138.9223403931
220034,2010-01-01,20522.5979662401
301932,2010-01-01,16613.2250988483
302086,2010-01-01,16517.3938245773
306780,2010-01-01,12052.0248658565
342347,2010-01-01,6191.51885065628
902858,2010-01-01,133267.960968286
197,2011-01-01,11069.066039741
227,2011-01-01,90022.9004275836
3305,2011-01-01,26488.6497811079
3306,2011-01-01,7370.3259510994
3307,2011-01-01,21598.3015012741
3311,2011-01-01,6853.00111519918
3314,2011-01-01,20153.4602556229
12226,2011-01-01,24986.8214353323
12229,2011-01-01,14014.9806997776
12241,2011-01-01,5054.71949386597
12570,2011-01-01,16632.457808733
12572,2011-01-01,21698.7638862133
20224,2011-01-01,16174.2497614883
20230,2011-01-01,18958.1884883642
28850,2011-01-01,5270.03475797176
30604,2011-01-01,7545.95716784708
30605,2011-01-01,75566.768602977
30606,2011-01-01,6083.47088718414
30614,2011-01-01,75006.3657580018
30618,2011-01-01,303266.351868846
67670,2011-01-01,12558.6335916992
102817,2011-01-01,2390.70174705051
102910,2011-01-01,35843.0523848534
107569,2011-01-01,68056.0401333347
115079,2011-01-01,32639.9920475483
116297,2011-01-01,24545.9085507393
220034,2011-01-01,21880.5339765384
301932,2011-01-01,17218.6175785065
302086,2011-01-01,18291.1666946411
306780,2011-01-01,12373.1348115845
342347,2011-01-01,6362.84115093948
902858,2011-01-01,136396.659749687
197,2012-01-01,13040.1869912744
227,2012-01-01,92796.1722577401
3305,2012-01-01,29573.3905518055
3306,2012-01-01,7737.66276562214
3307,2012-01-01,22160.4440262318
3311,2012-01-01,7043.70094116963
3314,2012-01-01,21280.5942032933
12226,2012-01-01,27467.8048692495
12229,2012-01-01,14464.1568049192
12241,2012-01-01,4852.33236086369
12570,2012-01-01,16978.3295753002
12572,2012-01-01,22246.7082709074
20224,2012-01-01,19250.4201042578
