wdpa_id,landcover_class,date,landcover_area_ha
12241,closed_forest_unknown,2015-01-01,116
12570,closed_forest_unknown,2015-01-01,116
12572,closed_forest_unknown,2015-01-01,116
20224,closed_forest_unknown,2015-01-01,232
20230,closed_forest_unknown,2015-01-01,116
28850,closed_forest_unknown,2015-01-01,116
30604,closed_forest_unknown,2015-01-01,116
30605,closed_forest_unknown,2015-01-01,464
30606,closed_forest_unknown,2015-01-01,116
30614,closed_forest_unknown,2015-01-01,116
30618,closed_forest_unknown,2015-01-01,1598
67670,closed_forest_unknown,2015-01-01,348
102817,closed_forest_unknown,2015-01-01,116
102910,closed_forest_unknown,2015-01-01,438
107569,closed_forest_unknown,2015-01-01,344
115079,closed_forest_unknown,2015-01-01,348
116297,closed_forest_unknown,2015-01-01,116
220034,closed_forest_unknown,2015-01-01,1140
301932,closed_forest_unknown,2015-01-01,116
302086,closed_forest_unknown,2015-01-01,116
306780,closed_forest_unknown,2015-01-01,232
342347,closed_forest_unknown,2015-01-01,116
902858,closed_forest_unknown,2015-01-01,282
227,cropland,2015-01-01,330
3305,cropland,2015-01-01,40
3306,cropland,2015-01-01,40
3307,cropland,2015-01-01,40
3311,cropland,2015-01-01,80
3314,cropland,2015-01-01,40
12226,cropland,2015-01-01,40
12229,cropland,2015-01-01,40
12570,cropland,2015-01-01,40
12572,cropland,2015-01-01,40
20224,cropland,2015-01-01,40
20230,cropland,2015-01-01,40
28850,cropland,2015-01-01,40
30605,cropland,2015-01-01,310
30606,cropland,2015-01-01,40
30614,cropland,2015-01-01,40
30618,cropland,2015-01-01,1312
67670,cropland,2015-01-01,170
102910,cropland,2015-01-01,210
107569,cropland,2015-01-01,166
115079,cropland,2015-01-01,40
116297,cropland,2015-01-01,40
220034,cropland,2015-01-01,40
302086,cropland,2015-01-01,40
306780,cropland,2015-01-01,80
342347,cropland,2015-01-01,40
902858,cropland,2015-01-01,330
227,herbaceous_vegetation,2015-01-01,120
3305,herbaceous_vegetation,2015-01-01,360
3307,herbaceous_vegetation,2015-01-01,50
3311,herbaceous_vegetation,2015-01-01,210
3314,herbaceous_vegetation,2015-01-01,30
12226,herbaceous_vegetation,2015-01-01,210
12570,herbaceous_vegetation,2015-01-01,30
12572,herbaceous_vegetation,2015-01-01,30
20224,herbaceous_vegetation,2015-01-01,210
20230,herbaceous_vegetation,2015-01-01,30
28850,herbaceous_vegetation,2015-01-01,30
30605,herbaceous_vegetation,2015-01-01,560
30606,herbaceous_vegetation,2015-01-01,120
30614,herbaceous_vegetation,2015-01-01,30
30618,herbaceous_vegetation,2015-01-01,1156
67670,herbaceous_vegetation,2015-01-01,30
102910,herbaceous_vegetation,2015-01-01,30
107569,herbaceous_vegetation,2015-01-01,400
115079,herbaceous_vegetation,2015-01-01,30
116297,herbaceous_vegetation,2015-01-01,110
220034,herbaceous_vegetation,2015-01-01,1490
301932,herbaceous_vegetation,2015-01-01,230
302086,herbaceous_vegetation,2015-01-01,30
306780,herbaceous_vegetation,2015-01-01,60
342347,herbaceous_vegetation,2015-01-01,30
902858,herbaceous_vegetation,2015-01-01,380
227,herbaceous_wetland,2015-01-01,1030
3305,herbaceous_wetland,2015-01-01,680
3306,herbaceous_wetland,2015-01-01,760
3311,herbaceous_wetland,2015-01-01,340
12226,herbaceous_wetland,2015-01-01,90
12241,herbaceous_wetland,2015-01-01,90
12570,herbaceous_wetland,2015-01-01,90
20224,herbaceous_wetland,2015-01-01,680
28850,herbaceous_wetland,2015-01-01,90
30604,herbaceous_wetland,2015-01-01,90
30605,herbaceous_wetland,2015-01-01,1320
30606,herbaceous_wetland,2015-01-01,90
30618,herbaceous_wetland,2015-01-01,1580
67670,herbaceous_wetland,2015-01-01,180
102817,herbaceous_wetland,2015-01-01,90
102910,herbaceous_wetland,2015-01-01,880
107569,herbaceous_wetland,2015-01-01,2916
115079,herbaceous_wetland,2015-01-01,610
116297,herbaceous_wetland,2015-01-01,510
220034,herbaceous_wetland,2015-01-01,1756
301932,herbaceous_wetland,2015-01-01,430
302086,herbaceous_wetland,2015-01-01,90
306780,herbaceous_wetland,2015-01-01,180
342347,herbaceous_wetland,2015-01-01,90
902858,herbaceous_wetland,2015-01-01,1020
30614,open_forest_deciduous_broad_leaf,2015-01-01,124
342347,open_forest_deciduous_broad_leaf,2015-01-01,124
902858,open_forest_deciduous_broad_leaf,2015-01-01,124
197,open_forest_evergreen_broad_leaf,2015-01-01,122
227,open_forest_evergreen_broad_leaf,2015-01-01,122
3305,open_forest_evergreen_broad_leaf,2015-01-01,2326
