wdpa_pid,name_kfw,type_kfw,area_sqkm_kfw,mab_kfw,world_heritage_kfw,ramsar_kfw,ecosystem_kfw,bmz_n_1,bmz_n_2,bmz_n_3,bmz_n_4,bmz_n_5,bmz_n_6,bmz_n_7,bmz_n_8,bmz_n_9,bmz_n_10
351931,Parque Estadual da Ilha do Mel,National Park,4,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
107428,Bola de Monte,Área Natural,0.01,NA,NA,NA,Küste,201768464,NA,NA,NA,NA,NA,NA,NA,NA,NA
478416,Silvestre Rio dos Frades,National Park,9,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
41027,Port Royal,National Park,5,NA,NA,NA,Küste,201165984,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,Los Colorados,Flora and Fauna Sanctuary,10,NA,NA,NA,Wald,201065143,NA,NA,NA,NA,NA,NA,NA,NA,NA
555576373,RESEX Ilha do Tumba,National Park,11.28,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
35271,Old Providence McBean Lagoon,National Park,9.95,Seaflower,NA,NA,Küste,201065143,NA,NA,NA,NA,NA,NA,NA,NA,NA
555576249,ARIE Guará,National Park,4,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
12494,El Imposible,Parque Nacional,35.21,NA,NA,NA,Wald,201768464,NA,NA,NA,NA,NA,NA,NA,NA,NA
555576325,PN Marinho Ilha dos Currais,National Park,13.61,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
555576152,PE Cristalino II,ESEC,24.51,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
302095,Ipala,Área de Uso multiple,20.12,NA,NA,NA,Wald,201206787,NA,NA,NA,NA,NA,NA,NA,NA,NA
351719,Mandira,National Park,11.76,NA,NA,NA,Küste,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
351821,ESEC Guanabara,National Park,19.35,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
555576260,RDS Itapanhapima,National Park,12.43,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
555629317,La Vieja Catarina,National Park,1,NA,NA,NA,Wald,201067164,NA,NA,NA,NA,NA,NA,NA,NA,NA
40924,ESEC Guaraguaçu,National Park,11.5,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
555599932,Estação Ecológica Ilha do Mel,National Park,22.41,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
478591,PE do Prelado,National Park,18.28,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
555600294,PE Cristalino III,ESEC,16.17,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
95337,Jeanette Kawas,National Park,793.8,NA,NA,Jeanette Kawas,Küste,201165984,NA,NA,NA,NA,NA,NA,NA,NA,NA
555576159,RESEX Taquaril,National Park,16.62,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
18823,El Pital,Reserva Biologica,33.24,NA,NA,NA,Wald,201206787,NA,NA,NA,NA,NA,NA,NA,NA,NA
478502,RDS Barra do Uma,National Park,14.87,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
351996,Parque Estadual Campina do Encantado,National Park,32,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
555682331,APA  Jaceruba,National Park,24.74,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
15981,REBIO de Araras,National Park,38.62,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
303546,El Corchal,Flora and Fauna Sanctuary,38.5,NA,NA,NA,Küste,201065143,NA,NA,NA,NA,NA,NA,NA,NA,NA
18841,Erapuca,Refugio de Vida Silvestre,62.22,NA,NA,NA,Wald,201206787,NA,NA,NA,NA,NA,NA,NA,NA,NA
19434,Chauás,National Park,27,NA,Atlantic Forest South-East Reserves,NA,Küste,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
20229,Caracol Maya Ruins,National Park,103,NA,NA,NA,Küste + EEZ,200866657,NA,NA,NA,NA,NA,NA,NA,NA,NA
352120,APA Bacia do Rio dos Frades,National Park,75,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
352012,Parque Estadual do Boguaçu,National Park,60.5,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
478537,RDS Despraiado,National Park,39.53,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,Los Flamencos,Flora and Fauna Sanctuary,76.15,NA,NA,NA,Küste,201065143,NA,NA,NA,NA,NA,NA,NA,NA,NA
301932,Nojkaaxmeen Eligio Panti,National Park,51,NA,NA,NA,Küste,200866657,NA,NA,NA,NA,NA,NA,NA,NA,NA
351822,RESEX Chocoaré-Mato Grosso,National Park,27.59,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
555582978,Guanaja 2,National Park,27.03,NA,NA,NA,Wald,201165984,NA,NA,NA,NA,NA,NA,NA,NA,NA
12223,Galeras,Flora and Fauna Sanctuary,76.15,NA,NA,NA,Wald,201265685,NA,NA,NA,NA,NA,NA,NA,NA,NA
41011,Capiro y Calentura,National Park,80.82,NA,NA,NA,Wald,201165984,NA,NA,NA,NA,NA,NA,NA,NA,NA
35272,Guanentá Alto Río Fonce,Flora and Fauna Sanctuary,104.29,NA,NA,NA,Hochgebirge,201065143,NA,NA,NA,NA,NA,NA,NA,NA,NA
107427,Barra de Santiago,Área Natural,18.48,NA,NA,Barra de Santiago,Küste,201768464,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,Cofre de Perote,Parque Nacional,11.531,NA,NA,NA,Wald,201166156,201567957,NA,NA,NA,NA,NA,NA,NA,NA
351721,Ilha da Queimada Grande e Queimada Pequena,National Park,0.33,NA,NA,NA,Küste,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
351780,RESEX São João da Ponta,RESEX,34.09,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
342379,Guisayote,Reserva Biologica,140.81,NA,NA,NA,Wald,201206787,NA,NA,NA,NA,NA,NA,NA,NA,NA
12225,Fresh Water Creek,National Park,135,NA,NA,NA,Küste,200866657,NA,NA,NA,NA,NA,NA,NA,NA,NA
351840,APA Guapimirim,National Park,138.25,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
36051,Laguna de Guaimoreto,National Park,85.94,NA,NA,NA,Küste,201165984,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,Iguaque,Flora and Fauna Sanctuary,67.5,NA,NA,NA,Hochgebirge,201065143,NA,NA,NA,NA,NA,NA,NA,NA,NA
555592746,Bahia Portete Kaumele,National Park,140.8,NA,NA,NA,Küste,201065143,NA,NA,NA,NA,NA,NA,NA,NA,NA
555576365,PNM Montanhas de Teresópolis,National Park,43.97,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
18816,Barras de Cuero y Salado,National Park,130.3,NA,NA,Barras de Cuero y Salado,Küste,201165984,NA,NA,NA,NA,NA,NA,NA,NA,NA
116297,Vaca forest Reserve,National Park,141,NA,NA,NA,Küste,200866657,NA,NA,NA,NA,NA,NA,NA,NA,NA
23306,Cusuco,Parque Nacional,190.07,NA,NA,NA,Wald,201768464,NA,NA,NA,NA,NA,NA,NA,NA,NA
41024,Punta Izopo,National Park,227.4,NA,NA,Punta Izopo,Wald,201165984,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,Tayrona,National Park,150,NA,NA,NA,Küste,201065143,NA,NA,NA,NA,NA,NA,NA,NA,NA
555592954,El Morro Wildlife Reserve,Wildlife Reserve,118,NA,NA,NA,Küste + EEZ,201697515,NA,NA,NA,NA,NA,NA,NA,NA,NA
107153,Trifinio,Reserva de Biósfera,1484.82,Trifinio,NA,"San Diego, San Felipe las Barras",Wald,201206787,NA,NA,NA,NA,NA,NA,NA,NA,NA
902744,Sarstoon Temash,National Park,169.92,NA,NA,Sarstoon Temash,Küste,201768464,NA,NA,NA,NA,NA,NA,NA,NA,NA
107424,Los Cóbanos,Áera Natural,207.63,NA,NA,NA,Meer,201768464,NA,NA,NA,NA,NA,NA,NA,NA,NA
555600266,RESEX Marinha Cuinarana,RESEX,110.37,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
198353,PN Pau Brasil,National Park,190.27,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,Pico de Orizaba,Parque Nacional,19.75,NA,NA,NA,Wald,201166156,201567957,NA,NA,NA,NA,NA,NA,NA,NA
72,PARNA Serra dos Órgãos,National Park,200,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
101416_B,Sierra del Abra Tanchipa,Área de Protección de Flora y Fauna,21.464,NA,NA,NA,Wald,201166156,201567957,NA,NA,NA,NA,NA,NA,NA,NA
555600245,RESEX Marinha Mocapajuba,RESEX,210.29,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
555582992,Nombre de Dios,National Park,267.58,NA,NA,NA,Wald,201165984,NA,NA,NA,NA,NA,NA,NA,NA,NA
555592745,Acandí,Flora and Fauna Sanctuary,262.33,NA,NA,NA,Küste,201065143,NA,NA,NA,NA,NA,NA,NA,NA,NA
351972,Parque Estadual Ilha do Cardoso,National Park,135,NA,Atlantic Forest South-East Reserves,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
351863,Área de Proteção Ambiental de Caraíva-Trancoso,National Park,319,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
351718,Parque Nacional de Saint-Hilaire/Lange,National Park,251.2,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
555555613,Illescas,National Park,37,NA,NA,NA,Küste,201066661,NA,NA,NA,NA,NA,NA,NA,NA,NA
18845,Texiguat,National Park,469.85,NA,NA,NA,Wald,201165984,NA,NA,NA,NA,NA,NA,NA,NA,NA
555576334,REBIO Bom Juses,National Park,341.79,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
12555,Cerro San Gil,Rerserva Protectora de Manantiales,474.35,NA,NA,NA,Wald,201768464,NA,NA,NA,NA,NA,NA,NA,NA,NA
39850,APA de Macaé de Cima,National Park,350.37,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
10754,Gorgona,National Park,616.88,NA,NA,NA,Küste,201265685,NA,NA,NA,NA,NA,NA,NA,NA,NA
18744,REBIO Tinguá,National Park,261.4,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
352062,PE Serra dos Martírios-Andorinhas,PARQUE,248.97,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,Macuira,National Park,250,NA,NA,NA,Savanne,201065143,NA,NA,NA,NA,NA,NA,NA,NA,NA
102254,San San Pond Sak,Humedal,310,NA,NA,San Son Pond Sak,Küste,201768464,NA,NA,NA,NA,NA,NA,NA,NA,NA
306787,Cuenca Hidrográfica del Río Necaxa,Área de Protección de Recursos Naturales,42.129,NA,NA,NA,Wald,201166156,201567957,NA,NA,NA,NA,NA,NA,NA,NA
555600255,RESEX Marinha Mestre Lucindo,RESEX,264.65,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
351802,RESEX Ipaú-Anilzinho,National Park,558.16,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
3305,Mountain Pine Ridge,National Park,430,NA,NA,NA,Küste,200866657,NA,NA,NA,NA,NA,NA,NA,NA,NA
3306,Chiquibul Forest Reserve,National Park,598,NA,NA,NA,Küste + EEZ,200866657,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,Ciénaga Grande de Santa Marta,Flora and Fauna Sanctuary,268.1,Ciénaga Grande de Santa Marta,NA,Ciénaga Grande de Santa Marta,Küste,201065143,NA,NA,NA,NA,NA,NA,NA,NA,NA
315070,Área de Uso Múltiple Río Sarstún,National Park,475.82,NA,NA,NA,Küste,201066836,NA,NA,NA,NA,NA,NA,NA,NA,NA
99652,South Water Caye*,Marine Reserve,474.03,NA,Belize Barrier Reef Reserve System,NA,Küste,201066836,201136613,NA,NA,NA,NA,NA,NA,NA,NA
33617,PE Serra dos Reis,PARQUE,422.87,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
555555692,Uramba Bahia Malaga,National Park,470.94,NA,NA,NA,Küste,201265685,NA,NA,NA,NA,NA,NA,NA,NA,NA
31758,Serra da Tabatinga,Protected Area,351.85,NA,NA,NA,Savanne,209810854,NA,NA,NA,NA,NA,NA,NA,NA,NA
303549,Utria,National Park,543,NA,NA,NA,Küste,201265685,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,Kaiateur,National Park,626.8,NA,NA,NA,Wald,200865444,201167063,NA,NA,NA,NA,NA,NA,NA,NA
352152,PE do Guariba,PARQUE,722.96,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,Pisba,National Park,450,NA,NA,NA,Hochgebirge,201065143,NA,NA,NA,NA,NA,NA,NA,NA,NA
555624849,ESEC de Guaraqueçaba,National Park,44.76,NA,Atlantic Forest South-East Reserves,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,Munchique,National Park,440,NA,NA,NA,Wald,201265685,201136613,NA,NA,NA,NA,NA,NA,NA,NA
19274,Parque Nacional do Superagüi,National Park,340,NA,Atlantic Forest South-East Reserves,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
351782,RESEX Mãe Grande de Curuçá,RESEX,366.78,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
555576184,PE Lagamar-Canaéia,National Park,407.58,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
33608,EE de Samuel,PARQUE,710.61,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
351801,RDS Itatupã-Baquiá,National Park,647.35,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
29809,Gulf of Montijo Wetlands,Wetland,807,NA,NA,NA,Küste + EEZ,201697515,NA,NA,NA,NA,NA,NA,NA,NA,NA
351781,RESEX Maracanã,National Park,300.19,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
107569,Cañón del Usumacinta,Área de Protección de Flora y Fauna,46.128,NA,NA,NA,Wald,201166156,201567957,NA,NA,NA,NA,NA,NA,NA,NA
352146,PE do Rio Negro Setor Sul,RESEX,866.01,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
555626131,Bahía de Tela,National Park,862.6,NA,NA,NA,Meer,201165984,NA,NA,NA,NA,NA,NA,NA,NA,NA
351805,RESEX Arioca-Pruanã,National Park,834.45,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,Los Katio,National Park,720,NA,NA,NA,Küste,201265685,201136613,NA,NA,NA,NA,NA,NA,NA,NA
555636002,Gulf of Tribuga,Marine PA,601,NA,NA,NA,Küste + EEZ,201697515,NA,NA,NA,NA,NA,NA,NA,NA,NA
115772,EE do Rio Ronuro,PARQUE,1020,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
36053,Río Kruta,N.N.,1115.07,NA,NA,NA,Küste,201768464,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,Tortuguero,Parque Nacional,723.59,NA,NA,Tortuguero,Meer,201768464,NA,NA,NA,NA,NA,NA,NA,NA,NA
108073,Sistema Arrecifal Lobos Tuxpan,Área de Protección de Flora y Fauna,30.571,NA,NA,NA,Küste,201166156,201567957,NA,NA,NA,NA,NA,NA,NA,NA
150,Isla de Salamanca,Vía Parque,562,Ciénaga Grande de Santa Marta,NA,Ciénaga Grande de Santa Marta,Küste,201065143,NA,NA,NA,NA,NA,NA,NA,NA,NA
33712,EE do Rio Roosevelt,REBIO,969.25,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,Sanquianga,National Park,800,NA,NA,NA,Wald,201265685,NA,NA,NA,NA,NA,NA,NA,NA,NA
16105,APA Petrópolis,National Park,596.18,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
2219,EE de Maracá-Jipioca,National Park,720,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
555636640,RDS Puranga Conquista,PARQUE,769.36,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,Los Nevados,National Park,380,NA,NA,NA,Hochgebirge,201265685,201136613,NA,NA,NA,NA,NA,NA,NA,NA
41010,Cayos Cochinos,National Park,1220,NA,NA,NA,Meer,201165984,NA,NA,NA,NA,NA,NA,NA,NA,NA
351997,PE Cristalino I,ESEC,579,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
18810,Pico Bonito,National Park,1070.9,NA,NA,NA,Wald,201165984,NA,NA,NA,NA,NA,NA,NA,NA,NA
81058,Juréia-Itatins,National Park,844.25,NA,NA,NA,Küste,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
2222,EE Rio Acre,National Park,775,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
352027,PE do Xingu,PARQUE,950.25,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
12493,Barra del Colordo,Refugio Nacional de Vida Silvestre,811.77,NA,NA,NA,Küste,201768464,NA,NA,NA,NA,NA,NA,NA,NA,NA
33609,EE Serra dos Três Irmãos,ESEC,874.12,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
352121,APA da Bacia do Rio Macacu,National Park,195,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,Tamá,National Park,480,NA,NA,NA,Hochgebirge,201065143,NA,NA,NA,NA,NA,NA,NA,NA,NA
33714,RESEX Rio Preto Jacundá,RDS,953,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
555576164,Ilha Comprida,National Park,175.72,NA,Atlantic Forest South-East Reserves,NA,Küste,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
352151,RESEX do Guariba,RDS,1504.65,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
103168,Yum Balam,National Park,1540.52,NA,NA,Área de Protección de Flora y Fauna Yum Balam,Küste,201468594,NA,NA,NA,NA,NA,NA,NA,NA,NA
352013,PE do Cantão,PARQUE,900.18,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
351749,RESEX Barreiro das Antas,National Park,1072.34,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
352154,RDS Bararati,RDS,1136.06,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
6074,RB do Tapirapé,National Park,1030,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
351747,RESEX do Rio Cautário,National Park,738.18,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
2234,Los Corales del Rosario y San Bernardo,National Park,1200,NA,NA,NA,Küste,201265685,NA,NA,NA,NA,NA,NA,NA,NA,NA
352197,PE Igarapés do Juruena,PARQUE,2278.17,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
352149,PE do Rio Negro Setor Norte,PARQUE,1460.28,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
2218,EE de Maracá,National Park,1013.12,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,Purace,National Park,830,NA,NA,NA,Wald,201265685,NA,NA,NA,NA,NA,NA,NA,NA,NA
12564,Punta Manabique,National Park,1518.78,NA,NA,Punta de Manabique,Küste,200766667,201136613,NA,NA,NA,NA,NA,NA,NA,NA
19993,Catatumbo-Bari,National Park,1581.25,NA,NA,NA,Wald,201265685,NA,NA,NA,NA,NA,NA,NA,NA,NA
555576206,RDS do Rio Negro,RDS,1029.79,Amazônia Central,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
351834,RESEX Arapixi,National Park,1336.37,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
20224,Rio Bravo PR,Private Reserve,104.9,NA,NA,NA,Wald,200866657,NA,NA,NA,NA,NA,NA,NA,NA,NA
351800,RESEX Mapuá,National Park,944.64,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
301909,Corozal Bay*,Wildlife Sanctuary,730.49,NA,NA,NA,Küste,201066836,201136613,NA,NA,NA,NA,NA,NA,NA,NA
478426,RESEX Renascer,RESEX,2117.41,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
555599933,APA Ambiental Estadual de Guaratuba,National Park,1995.87,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
20230,Chiquibul National Park,National Park,1068,NA,NA,NA,Küste + EEZ,200866657,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,Los Farallones de Cali,National Park,1500,NA,NA,NA,Wald,201265685,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,Nevado del Huila,National Park,1580,NA,NA,NA,Wald,201265685,201136613,NA,NA,NA,NA,NA,NA,NA,NA
30614,Montanas Mayas Chiquibul,National Park,1236,NA,NA,NA,Wald,200866657,NA,NA,NA,NA,NA,NA,NA,NA,NA
30625,Laguna de Caratasca,N.N.,1337.49,NA,NA,NA,Küste,201768464,NA,NA,NA,NA,NA,NA,NA,NA,NA
555624843,PN do Viruá,National Park,2270.11,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
351772,RESEX do Baixo Juruá,National Park,1879.82,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
903013,Los Tuxtlas,Reserva de la Biosfera,155.122,NA,NA,NA,Wald,201166156,201567957,NA,NA,NA,NA,NA,NA,NA,NA
351759,RESEX do Alto Tarauacá,National Park,1512,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
351778,RESEX de Cururupu,National Park,1850.47,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
555576283,RESEX Canutama,RESEX,1979.87,NA,NA,NA,Wald,201367127,NA,NA,NA,NA,NA,NA,NA,NA,NA
101431,Maderas del Carmen,Área de Protección de Flora y Fauna,208.381,NA,NA,NA,Wald,201166156,201567957,NA,NA,NA,NA,NA,NA,NA,NA
7906,APA de Guaraqueçaba,National Park,2824.44,NA,NA,NA,Küste,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
67744,Sierra de las Minas,Reserva de Biósfera,2396.91,Sierra de las Minas,NA,NA,Wald,201768464,NA,NA,NA,NA,NA,NA,NA,NA,NA
19995,Tinigua,National Park,2018.75,NA,NA,NA,Wald,201265685,NA,NA,NA,NA,NA,NA,NA,NA,NA
81060,Abrolhos,National Park,913,Mata Atlântica,NA,Abrolhos Marine National Park,Küste,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
342347,Área de Protección de flora y fauna Bala'an K'áax,National Park,1284,NA,NA,Área de Protección de flora y fauna Bala'an K'áax,Wald,200866657,NA,NA,NA,NA,NA,NA,NA,NA,NA
